match_basis	kewa_seq	vol	page	deva	iast_printed	kewa_slp1	pwg_key1	witness	lemma_route	flags
finite-form->root	79	I	22	अचति	ácati	acati	aYc	dcs	aYc	
finite-form->root	389	I	57	अवति	ávati	avati	av	dcs	av	
finite-form->root	812	I	104	उनोति	unóti	unoti	u	dcs	u	
finite-form->root	2050	I	278	क्रमते	krámate	kramate	kram	dcs	kram	
finite-form->root	2665	I	367	चञ्चति	cáñcati	caYcati	caYc	dcs	caYc	
finite-form->root	3383	I	476	तन्दते	tandate	tandate	tand	dcs	tand	
finite-form->root	4088	I	568	गाहते	gā́hate	gAhate	gAh	dcs	gAh	
finite-form->root	4131	II	13-14	ददाति	dádāti	dadAti	dA	dcs	dA	
finite-form->root	4162	II	19	दमिता	damitā́	damitA	dam	dcs	dam	
finite-form->root	4280	II	38	दाश्नोति	dāśnóti	dASnoti	dAS	dcs	dAS	
finite-form->root	4758	II	136	नमति	námati	namati	nam	dcs	nam	
finite-form->root	4862	II	157-158	निंसते	níṃsate	niMsate	niMs	dcs	niMs	
finite-form->root	4866	II	158	निक्तः	niktáḥ	niktaH	nij	dcs	nij	
finite-form->root	5807	II	380	प्रीणाति	prīṇā́ti	prIRAti	prI	dcs	prI	
finite-form->root	6965	III	12	यष्टा	yáṣṭā	yazwA	yaj	dcs	yaj	
finite-form->root	7382	III	108-109	लुम्पति	lumpáti	lumpati	lup	dcs	lup	
finite-form->root	8375	III	372-374	शृणोति	śṛṇóti	SfRoti	Sru	dcs	Sru	
finite-form->root	8487	III	401	श्वसिति	śvásiti	Svasiti	Svas	dcs	Svas	
finite-form->root	8608	III	430	सपर्यति	saparyáti	saparyati	sapary	dcs	sapary	
finite-form->root	9257	III	595	हिनस्ति	hinásti	hinasti	hiMs	dcs	hiMs	
ambiguous-multi	144	I	29-30	अद्भिः	adbhíḥ	adBiH	ad|ap	dcs	ad|ap	
ambiguous-multi	350	I	52-53	अर्वाङ्	arvā́ṅ	arvAN	arvAYc|arvAk	dcs	arvAYc|arvAk	
ambiguous-multi	997	I	127	एतत्	etát	etat	etad|maDu	dcs	etad|maDu	
ambiguous-multi	1169	I	150	कदली	kadalī	kadalI	kadala|kadalin	dcs	kadala|kadalin	
ambiguous-multi	1277	I	167	करी	karī	karI	kara|karin	dcs	kara|karin	
ambiguous-multi	1902	I	259	कृत्या	kṛtyā́	kftyA	kfti|kftya	dcs	kfti|kftya	
ambiguous-multi	3955	I	557	ईट्टे	ī́ṭṭe	Iwwe	IS|Iq	dcs	IS|Iq	
ambiguous-multi	4381	II	53-54	दुवः	dúvaḥ	duvaH	dU|du|duvas	dcs	dU|du|duvas	
ambiguous-multi	4432	II	63	देववान्	devávān	devavAn	devavant|devavat	dcs	devavant|devavat	
ambiguous-multi	4434	II	64	देवा	devā́	devA	deva|iti	dcs	deva|iti	
ambiguous-multi	4575	II	95	धर्मा	dharmā́	DarmA	Darma|Darman	dcs	Darma|Darman	
ambiguous-multi	5083	II	204	पथ्या	pathyā́	paTyA	paTin|paTya	dcs	paTin|paTya	
